20200530180827,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530180832,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530180832,进入快三娱乐城,出现投注号码,成功,无,无
20200530181038,进入首页,登陆测试,成功,无,无
20200530181102,进入首页,进入彩票游戏模块,成功,无,无
20200530181106,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530181112,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530181112,进入快三娱乐城,出现投注号码,成功,无,无
20200530181519,进入首页,登陆测试,成功,无,无
20200530181543,进入首页,进入彩票游戏模块,成功,无,无
20200530181546,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530181551,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530181551,进入快三娱乐城,出现投注号码,成功,无,无
20200530183022,进入首页,登陆测试,成功,无,无
20200530183045,进入首页,进入彩票游戏模块,成功,无,无
20200530183049,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530183055,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530183055,进入快三娱乐城,出现投注号码,成功,无,无
20200530183801,进入首页,登陆测试,成功,无,无
20200530183824,进入首页,进入彩票游戏模块,成功,无,无
20200530183828,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530183833,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530183834,进入快三娱乐城,出现投注号码,成功,无,无
20200530184304,进入首页,登陆测试,成功,无,无
20200530184327,进入首页,进入彩票游戏模块,成功,无,无
20200530184331,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530184336,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530184336,进入快三娱乐城,出现投注号码,成功,无,无
20200530184624,进入首页,登陆测试,成功,无,无
20200530184647,进入首页,进入彩票游戏模块,成功,无,无
20200530184651,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530184657,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530184657,进入快三娱乐城,出现投注号码,成功,无,无
20200530184728,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200530184843,进入首页,登陆测试,成功,无,无
20200530184905,进入首页,进入彩票游戏模块,成功,无,无
20200530184909,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530184914,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530184914,进入快三娱乐城,出现投注号码,成功,无,无
20200530184945,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200530185802,进入首页,登陆测试,成功,无,无
20200530185825,进入首页,进入彩票游戏模块,成功,无,无
20200530185829,进入快三游戏,安徽快三游戏投注页面,失败,20200530185829.png,期望:True,type<class 'str'>,实际:False,type<class 'str'>
20200530185833,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530185834,进入快三娱乐城,出现投注号码,成功,无,无
20200530185905,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200530185907,玩法:快三投注基本页面,一键投注,成功,无,无
20200530185911,玩法:快三投注基本页面,返回上层验证金额,失败,20200530185911.png,
20200530190859,进入首页,登陆测试,成功,无,无
20200530190920,进入首页,进入彩票游戏模块,成功,无,无
20200530190924,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530190930,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530190930,进入快三娱乐城,出现投注号码,成功,无,无
20200530191001,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200530191003,玩法:快三投注基本页面,一键投注,成功,无,无
20200530191342,进入首页,登陆测试,成功,无,无
20200530191404,进入首页,进入彩票游戏模块,成功,无,无
20200530191408,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200530191414,进入快三娱乐,到达娱乐城页面,成功,无,无
20200530191415,进入快三娱乐城,出现投注号码,成功,无,无
20200530191443,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531103008,进入首页,登陆测试,成功,无,无
20200531103031,进入首页,进入彩票游戏模块,成功,无,无
20200531103034,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531103040,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531103041,进入快三娱乐城,出现投注号码,成功,无,无
20200531103111,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531103113,玩法:快三投注基本页面,一键投注,成功,无,无
20200531103802,进入首页,登陆测试,成功,无,无
20200531103824,进入首页,进入彩票游戏模块,成功,无,无
20200531103828,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531103833,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531103834,进入快三娱乐城,出现投注号码,成功,无,无
20200531103906,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531103907,玩法:快三投注基本页面,一键投注,成功,无,无
20200531103913,玩法:快三投注基本页面,金额验证,成功,无,无
20200531134556,进入首页,登陆测试,成功,无,无
20200531134618,进入首页,进入彩票游戏模块,成功,无,无
20200531134622,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531134626,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531134627,进入快三娱乐城,出现投注号码,成功,无,无
20200531134657,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531173923,进入首页,登陆测试,成功,无,无
20200531173945,进入首页,进入彩票游戏模块,成功,无,无
20200531173949,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531173955,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531173956,进入快三娱乐城,出现投注号码,成功,无,无
20200531174029,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531174031,玩法:快三投注基本页面,一键投注,成功,无,无
20200531174037,玩法:快三投注基本页面,金额验证,成功,无,无
20200531174238,进入首页,登陆测试,成功,无,无
20200531174302,进入首页,进入彩票游戏模块,成功,无,无
20200531174306,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531174310,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531174310,进入快三娱乐城,出现投注号码,成功,无,无
20200531174341,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531174343,玩法:快三投注基本页面,一键投注,成功,无,无
20200531174347,玩法:快三投注基本页面,返回上层验证金额,失败,20200531174347.png,
20200531174900,进入首页,登陆测试,成功,无,无
20200531174920,进入首页,进入彩票游戏模块,成功,无,无
20200531174924,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531174929,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531174930,进入快三娱乐城,出现投注号码,成功,无,无
20200531175003,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531175005,玩法:快三投注基本页面,一键投注,成功,无,无
20200531175012,玩法:快三投注基本页面,返回上层验证金额,失败,20200531175012.png,
20200531182720,进入首页,登陆测试,成功,无,无
20200531182742,进入首页,进入彩票游戏模块,成功,无,无
20200531182745,进入快三游戏,安徽快三游戏投注页面,成功,无,无
20200531182751,进入快三娱乐,到达娱乐城页面,成功,无,无
20200531182751,进入快三娱乐城,出现投注号码,成功,无,无
20200531182823,娱乐城玩法,投注前页面总金额校验,成功,无,无
20200531182825,玩法:快三投注基本页面,一键投注,成功,无,无
20200531182831,玩法:快三投注基本页面,金额验证,成功,无,无
20200531183306,进入首页,登陆测试,成功,无,无
20200531183330,进入首页,进入彩票游戏模块,成功,无,无
